iter	Passed	Remaining
1224	629537	301150
1225	629709	300473
1226	629869	299791
1227	630073	299131
1228	630261	298463
1229	630475	297809
1230	630669	297147
1231	630886	296495
1232	631081	295835
1233	631307	295189
1234	631476	294518
1235	631678	293863
1236	631867	293202
1237	632059	292544
1238	632277	291898
1239	632492	291252
1240	632743	290623
1241	632925	289963
1242	633072	289288
1243	633294	288647
1244	633495	287998
1245	633677	287341
1246	633892	286700
1247	634093	286053
1248	634289	285404
1249	634499	284763
1250	634682	284110
1251	634855	283453
1252	634992	282781
1253	635173	282130
1254	635353	281479
1255	635537	280830
1256	635738	280190
5	630635	171215
1256	630804	170623
1257	630960	170028
1258	631070	169421
1259	631149	168807
1260	631270	168205
1261	631412	167609
1262	631512	167003
1263	631675	166414
1264	631799	165816
1265	631952	165226
1266	632077	164629
1267	632206	164034
1268	632356	163446
1269	632521	162861
1270	632632	162264
1271	632769	161674
1272	632890	161081
1273	633007	160487
1274	633117	159893
1275	633211	159295
1276	633304	158698
1277	633450	158114
1278	633587	157529
1279	633726	156946
1280	633831	156355
1281	633952	155768
1282	634105	155190
1283	634243	154609
1284	634388	154030
1285	634554	153457
1286	634702	152880
1287	634825	152299
1288	634976	151724
1289	635096	151143
1290	635205	150559
1291	635354	149986
1292	635491	149411
1293	635623	148836
1294	635770	148264
1295	635914	147693
1296	636073	147125
1297	636233	146559
1298	636381	145990
1299	636525	145421
1300	636721	144865
1301	636820	144287
1302	636963	143720
1303	637109	143154
1304	637243	142586
1305	637369	142017
1306	637529	141456
1307	637685	140895
1308	637821	140330
1309	637911	139756
1310	638026	139188
1311	638172	138627
7	150163
1289	634759	149586
1290	634855	149001
1291	634978	148423
1292	635074	147840
1293	635161	147255
1294	635258	146673
1295	635353	146092
1296	635418	145504
1297	635500	144921
1298	635584	144339
1299	635680	143761
1300	635780	143184
1301	635853	142603
1302	635927	142022
1303	635986	141438
1304	636077	140863
1305	636182	140291
1306	636266	139715
1307	636358	139142
1308	636462	138572
1309	636547	137999
